Profil source;Profil compare;Rang;Score global;Similarite contenu;Similarite moyenne questions;Similarite lexicale;Similarite longueur;Similarite emotionnelle;Question la plus proche;Similarite question la plus proche;Sentiment source;Sentiment compare;Score sentiment source;Score sentiment compare;Reponse source - Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;Reponse compare - Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;Reponse source - Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;Reponse compare - Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;Reponse source - Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;Reponse compare - Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?
Dad’;Cyrille;1;80.87;78.02;69.57;91.39;88.11;100.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;76.68;4 stars;4 stars;0.387;0.363;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;"Titre :Une vie, une aventure. 
Pourquoi: vivre la vie comme une aventure permet de se lever de bonne humeur chaque jour en espérant vivre chaque jour comme une aventure .";Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;"Certainement époque coloniale.
Pour un espace de liberté de découverte et d’aventure.";Don d’ubiquité (peut-être….);Pilote d’avion
Dad’;Pauline;2;80.4;79.99;74.14;91.61;89.19;75.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;86.29;4 stars;5 stars;0.387;0.47;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;La vie est un long fleuve tranquille, parce que jusqu’à présent tout se passe pas trop mal;Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;La Grèce Antique, car c’est une des plus anciennes civilisation, mais aussi une des plus développée concernant l’art, la culture, la démocratie, la philosophie, etc.;Don d’ubiquité (peut-être….);Être bilingue en anglais
Dad’;Tam;3;78.73;74.24;71.54;82.97;90.0;100.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;73.42;4 stars;4 stars;0.387;0.253;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;“Sans mode pause” = j’ai besoin de challenge au quotidien dans ma vie pro, perso ou via le sport. J’aime être entouré, échangé et me laisser inspiré par mon entourage. Bref je m’arrête jamais 🙃;Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Les années 80’ pour l’ambiance explosif, la créativité, la convivialité de cette époque;Don d’ubiquité (peut-être….);Être manuelle
Dad’;Yohan;4;78.15;81.51;69.81;89.99;94.32;50.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;83.7;4 stars;2 stars;0.387;0.382;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;"Des hauts, des bas that is life. 
Ma vie n’est pas un long fleuve tranquille et, depuis tout petit, il y a eu de très bons moments, mais aussi d’autres un peu moins bons.";Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Dans les années 1970 1980.  On pouvait faire plus de choses, il y avait moins de règles. Et que dire de la musique... .;Don d’ubiquité (peut-être….);Trouver quelque chose qui révolutionne le monde (comme internet).
Dad’;Thibault;5;78.06;72.65;66.54;93.46;90.81;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;69.78;4 stars;4 stars;0.387;0.339;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;Le titre serait « Envers et contre tous » car j’ai des objectifs et un parcours de vie qui sont éloignés des autres personnes de mon entourage;Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Les années 1920, période Gatsby. Époque avec beaucoup plus d’élégance, de traditions, c’est l’époque de tout les possibles;Don d’ubiquité (peut-être….);Capacité à mémoriser les choses à l’infini
Dad’;Benjamin;6;77.84;73.88;64.29;94.73;85.68;100.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;71.14;4 stars;4 stars;0.387;0.472;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;Bénévolat le vrai sens de la vie;Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Le 19eme siècle.   Pleins de changements : l industrie, Eiffel, le chemin de fer, …;Don d’ubiquité (peut-être….);Savoir coder.   En tout cas comprendre le code informatique à fin de comprendre les évolutions actuelles
Dad’;Yann;7;76.14;75.93;64.8;95.23;81.89;75.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;69.78;4 stars;5 stars;0.387;0.525;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;Confessions Nocturnes : La vie d’un somnambule. Ce pan de ma vie la rythme depuis maintenant plus de deux décennies pour le meilleur (anecdotes rigolotes) comme pour le pire (par toujours évident en couple hein);Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Un futur lointain. Malgré toutes les dystopies aujourd’hui et cette suite très incertaines, je rêverai de voir les prouesses technologiques, l’impact sur nos vies et peut-être pourquoi pas la possibilité de découvrir l’espace de manière plus simple qu’aujourd’hui.;Don d’ubiquité (peut-être….);La téléportation. Quel bonheur de pouvoir éviter ces trajets pas forcément utile et surtout en tant que globe trotter ça serait incroyable de pouvoir voyager partout sans payer un avion ou un logement (petite téléportation à la maison pour dormir), accéder à des endroits inaccessibles. Il faut quand même ne pas abuser de ce pouvoir et garder le plaisir de la découverte d’un lieu après un bon trek (et ce que l’on peut voir pendant).
Dad’;Lexi;8;75.96;71.92;65.27;90.79;78.65;100.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;74.27;4 stars;4 stars;0.387;0.495;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;«  les aléas du direct » parce que ma vie change au grès du direct 😅 je sais rarement où je vais ou ce que je vais faire. Je me laisse porter en fonction de mes envies et de mes opportunité.;Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Je ne pense pas que je voudrais vivre dans une époque différente. Déjà parce que même à notre époque la place des femmes n’est pas toujours idyllique. Vivre dans une autre époque ok mais en choisissant mon sexe biologique et mon statue sociale à la rigueur. Mais sinon, en l’état cette époque me convient très bien ! Par contre faire un saut dans le temps de quelques jours pour observer … autour de 2,8 millions d’années ça m’irait bien !;Don d’ubiquité (peut-être….);Parler plusieurs langues ! Je trouve ça formidable de pouvoir communiquer largement avec le monde. Et pourquoi pas inclure dans le « plusieurs langues »être capable de comprendre le langage de d’autres animaux aussi et même celui des machines (plusieurs langages informatiques). Bref un truc autour des langues / langages.
Dad’;Sullyvan;9;75.78;71.05;65.47;98.79;97.84;75.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;69.69;4 stars;5 stars;0.387;0.593;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;Sully le Magnifique. De l’ego et un zeste d’humilité parce que c’était pas toujours classe. Mais ça mettrait en avant une vie pleine de pleins de choses.;Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;"Époque de Louis 14 le roi soleil en étant le roi bien évidemment. Mais en vrai notre époque de maintenant je la trouve vraiment pas mal. 
La préhistoire me branche aussi parce que pas besoin de travailler, juste vivre.";Don d’ubiquité (peut-être….);Apprendre et maitriser un langage (langue, informatique, morse, toute sorte de langage)
Dad’;Camille;10;75.59;70.15;69.55;93.47;97.57;75.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;73.66;4 stars;5 stars;0.387;0.388;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;Les amitiés incroyables, parce qu’on s’entourent de personnes qu’on aiment , qu’il y a des hauts et des bas dans toutes les amitiés mais la finalité c’est qu’on est toujours là les uns pour les autres. Oui c’est un peu nian-nian mais laisser moi rêver un peu !;Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Dans les années 90-2000 mais en étant déjà adulte , parce qu’on va pas se mito les sons étaient quand meme pas mal !;Don d’ubiquité (peut-être….);Me téléporter
David alias Davos;Yohan;1;76.49;72.3;70.9;84.84;76.76;100.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;78.64;2 stars;2 stars;0.333;0.382;"Une volonté d’acier :
Je suis quelqu’un qui m’investit toujours à fond quand j’entreprends quelque chose c’est souvent sportif mais aussi dans ma vie de tous les jours. Sois je le fais bien sois je ne le fais pas je n’aime pas faire les choses à moitié.";"Des hauts, des bas that is life. 
Ma vie n’est pas un long fleuve tranquille et, depuis tout petit, il y a eu de très bons moments, mais aussi d’autres un peu moins bons.";Une vingtaine d’années après la seconde guerre mondiale jusqu’au début des années 2000. Après la crise le pays commençait à se relever mais surtout à cette époque les liens sociaux étaient plus forts l’entreaide plus régulière. Plus de civilité, de valeurs et des échanges plus intéressants et constructifs. La technologie tue le lien social les humains sont de plus en plus cachés dérrière leurs écrans et on n’arrive de moins en moins a penser par soi meme avec les reseaux sociaux.;Dans les années 1970 1980.  On pouvait faire plus de choses, il y avait moins de règles. Et que dire de la musique... .;L’intelligence pour créer des nouvelles choses, édifices ou technologies qui inspireront et aideront les nouvelles générations.;Trouver quelque chose qui révolutionne le monde (comme internet).
David alias Davos;Damien;2;76.21;73.08;70.04;89.21;92.43;75.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;73.22;2 stars;1 star;0.333;0.46;"Une volonté d’acier :
Je suis quelqu’un qui m’investit toujours à fond quand j’entreprends quelque chose c’est souvent sportif mais aussi dans ma vie de tous les jours. Sois je le fais bien sois je ne le fais pas je n’aime pas faire les choses à moitié.";"« On n'est pas rendu ! »

Car toujours à faire des projets inachevés, toujours dans des études interminables, toujours à parler beaucoup et aller dans les détails. Et en même temps, toujours à persévérer et en vouloir plus. Bref, on n'est pas rendu";Une vingtaine d’années après la seconde guerre mondiale jusqu’au début des années 2000. Après la crise le pays commençait à se relever mais surtout à cette époque les liens sociaux étaient plus forts l’entreaide plus régulière. Plus de civilité, de valeurs et des échanges plus intéressants et constructifs. La technologie tue le lien social les humains sont de plus en plus cachés dérrière leurs écrans et on n’arrive de moins en moins a penser par soi meme avec les reseaux sociaux.;"Si c'est seulement pour le temps d'une expérience (pas pour toujours, quoi), je serais curieux de découvrir les années 1970-80 en URSS. Qu'est-ce que ça faisait d'être de l'autre côté du rideau de fer ? D'incarner le point de vue de l'autre ? D'être au crépuscule d'une vision du monde ?

Si c'est pour toujours, je crois que mon époque me convient le mieux (peut-être la vivre dans une autre région du monde). Globalement, j'ai plaisir à en apprendre toujours plus sur le monde d'aujourd'hui. J'aime vivre avec les connaissances que l'on a actuellement.";L’intelligence pour créer des nouvelles choses, édifices ou technologies qui inspireront et aideront les nouvelles générations.;"Devenir hyperpolyglotte !

Pouvoir lire, écrire, parler, comprendre un maximum de langues. Avoir accès à un grand nombre de cultures, comprendre comment chaque langue est un prisme différent sur notre monde."
David alias Davos;Cyriac;3;76.08;68.37;61.62;99.0;96.76;100.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;66.05;2 stars;2 stars;0.333;0.462;"Une volonté d’acier :
Je suis quelqu’un qui m’investit toujours à fond quand j’entreprends quelque chose c’est souvent sportif mais aussi dans ma vie de tous les jours. Sois je le fais bien sois je ne le fais pas je n’aime pas faire les choses à moitié.";"Le poids de l’intelligence 

Depuis tout petit, j’ai eu beaucoup de facilités dans mon parcours académique. J’ai sauté plusieurs classes, et obtenus mes diplômes beaucoup trop tôt. Le « problème »?? Rien ne surprenait personne. Une bonne note était normal, réussir un concours était normal. Invisibilisant ainsi les heures de travail derrière. Cette normalisation de la réussite a ainsi créé un manque de reconnaissance de mes propres réussite que ce soit scolaire ou personnelles.";Une vingtaine d’années après la seconde guerre mondiale jusqu’au début des années 2000. Après la crise le pays commençait à se relever mais surtout à cette époque les liens sociaux étaient plus forts l’entreaide plus régulière. Plus de civilité, de valeurs et des échanges plus intéressants et constructifs. La technologie tue le lien social les humains sont de plus en plus cachés dérrière leurs écrans et on n’arrive de moins en moins a penser par soi meme avec les reseaux sociaux.;"Aucune, j’aime bien maintenant 😂
En tant que noir j’ai l’impression que dans l’histoire récente, aucune époque ne me conviendrait vraiment. Peut être avant la colonisation, mais bon j’ai l’impression que je serais juste un prolo envoyé dans les champs parce que je pourrais certainement pas me battre pour la mère patrie.";L’intelligence pour créer des nouvelles choses, édifices ou technologies qui inspireront et aideront les nouvelles générations.;Teleportation. Le principe de se déplacer ne m’enchanteras jamais.
David alias Davos;Lua;4;75.63;75.21;70.65;94.03;94.86;50.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;78.49;2 stars;4 stars;0.333;0.364;"Une volonté d’acier :
Je suis quelqu’un qui m’investit toujours à fond quand j’entreprends quelque chose c’est souvent sportif mais aussi dans ma vie de tous les jours. Sois je le fais bien sois je ne le fais pas je n’aime pas faire les choses à moitié.";Vivre avec 600 passions débordantes, la joie des hyperfocus et des nouveaux loisirs créatifs tous les mois;Une vingtaine d’années après la seconde guerre mondiale jusqu’au début des années 2000. Après la crise le pays commençait à se relever mais surtout à cette époque les liens sociaux étaient plus forts l’entreaide plus régulière. Plus de civilité, de valeurs et des échanges plus intéressants et constructifs. La technologie tue le lien social les humains sont de plus en plus cachés dérrière leurs écrans et on n’arrive de moins en moins a penser par soi meme avec les reseaux sociaux.;D’un point de vue purement esthétique et basé sur le travail manuel féminin, je dirais l’époque victorienne ou edwardienne. J’aurais aimé vivre ces époques de découverte scientifique, architecture, de mode. Par contre je pense que je n’aurais pas supporté le manque de droits sociaux notamment de droits des femmes. Par rapport à ces droits j’aurais aimé vivre dans la deuxième moitié du 20 eme siècle avec le militantisme féministe, la reconstruction après la guerre, l’économie florissante.;L’intelligence pour créer des nouvelles choses, édifices ou technologies qui inspireront et aideront les nouvelles générations.;J’aimerais apprendre des nouvelles langues instantanément. Je trouve que le fait de parler plusieurs langues permet de découvrir le monde différemment de rencontrer des nouvelles personnes et que c’est un vrai atout professionnel. Et même si j’ai des facilités d’apprentissage, j’oublie souvent une langue pour en apprendre une autre. Donc j’aimerais pouvoir apprendre instantanément des nouvelles langues garder les ancienne et pouvoir communiquer avec le plus de monde.
